Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C1,540uF,CP_EIA-7343-15_Kemet-W,35.814,21.082,90,top
C2,540uF,CP_EIA-7343-15_Kemet-W,35.814,31.568,90,top
C3,10uF,C_0603_1608Metric_Pad1.08x0.95mm,37.338,14.732,-90,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm,16.4095,4.318,180,top
C4,1uF,C_0603_1608Metric_Pad1.08x0.95mm,34.29,14.732,-90,top
C10,1uF,C_0603_1608Metric_Pad1.08x0.95mm,15.6475,6.35,180,top
C12,120pF,C_0603_1608Metric_Pad1.08x0.95mm,2.032,10.5145,90,top
C13,1uF,C_0603_1608Metric_Pad1.08x0.95mm,15.6475,7.874,180,top
C16,10uF,C_0805_2012Metric,1.278,15.428,90,top
C17,22uF,C_0805_2012Metric,1.27,18.984,-90,top
F1,PTC_FUSE,Fuse_1206_3216Metric_Pad1.42x1.75mm,8.382,4.2815,90,top
L1,1uH,L_1210_3225Metric_Pad1.42x2.65mm,4.064,17.4365,90,top
R1,1k,R_0603_1608Metric_Pad0.98x0.95mm,24.892,7.112,90,top
R2,1k,R_0603_1608Metric_Pad0.98x0.95mm,23.368,7.112,-90,top
R3,22R,R_0603_1608Metric_Pad0.98x0.95mm,26.416,7.112,90,top
R4,10R,R_1210_3225Metric_Pad1.30x2.65mm,2.572,37.872,90,top
R5,330k,C_0603_1608Metric_Pad1.08x0.95mm,3.556,10.5145,90,top
R6,73.2k,C_0603_1608Metric_Pad1.08x0.95mm,5.08,10.5145,-90,top
R7,22R,R_0603_1608Metric_Pad0.98x0.95mm,27.94,7.112,90,top
SW1,KILL_SWITCH,G-Switch SK-12F04-G050,2.794,30.194,-90,top
U1,E22-900T30S,XCVR_E22-900T30S,19.392,29.322,180,top
U4,USBLC6-2SC6,SOT-23-6,23.702,1.712,0,top
U6,TPS62A01ADRL,SOT-563,3.302,13.6665,-90,top
U7,CH343P,WCH_QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,19.87,6.662,0,top
