Ref,Val,Package,PosX,PosY,Rot,Side
"C1","540uF","CP_EIA-7343-15_Kemet-W",49.022000,-42.418000,90.000000,top
"C2","540uF","CP_EIA-7343-15_Kemet-W",49.022000,-31.932000,90.000000,top
"C3","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",50.546000,-48.768000,-90.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",29.617500,-59.182000,180.000000,top
"C4","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",47.498000,-48.768000,-90.000000,top
"C10","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",28.855500,-57.150000,180.000000,top
"C12","120pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",15.240000,-52.985500,90.000000,top
"C13","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",28.855500,-55.626000,180.000000,top
"C16","10uF","C_0805_2012Metric",14.486000,-48.072000,90.000000,top
"C17","22uF","C_0805_2012Metric",14.478000,-44.516000,-90.000000,top
"F1","PTC_FUSE","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",21.590000,-59.218500,90.000000,top
"J2","USB_JUMPER","PinHeader_1x04_P2.54mm_Vertical",32.512000,-61.722000,-90.000000,top
"L1","1uH","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",17.272000,-46.063500,90.000000,top
"R1","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",38.100000,-56.388000,90.000000,top
"R2","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",36.576000,-56.388000,-90.000000,top
"R3","22R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",39.624000,-56.388000,90.000000,top
"R4","10R","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",15.780000,-25.628000,90.000000,top
"R5","330k","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.764000,-52.985500,90.000000,top
"R6","73.2k","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",18.288000,-52.985500,-90.000000,top
"R7","22R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",41.148000,-56.388000,90.000000,top
"SW1","KILL_SWITCH","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",16.002000,-33.306000,-90.000000,top
"U1","E22-900T30S","XCVR_E22-900T30S",32.600000,-34.178000,180.000000,top
"U4","USBLC6-2SC6","SOT-23-6_Handsoldering",36.910000,-61.788000,0.000000,top
"U6","TPS62A01ADRL","SOT-563",16.510000,-49.833500,-90.000000,top
"U7","CH343P","WCH_QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm",33.078000,-56.838000,0.000000,top
